year,variable,value
2004,Abap,0.375
2004,Ada,0.376666667
2004,C#,5.09
2004,C/C++,9.683333333
2004,Cobol,0.501666667
2004,Dart,0
2004,Delphi/Pascal,2.74
2004,Go,0
2004,Groovy,0.071666667
2004,Haskell,0.215
2004,Java,29.75666667
2004,JavaScript,8.61
2004,Julia,0
2004,Kotlin,0
2004,Lua,0.193333333
2004,Matlab,2.143333333
2004,Objective-C,0.198333333
2004,PHP,19.33333333
2004,Perl,7.133333333
2004,Python,2.726666667
2004,R,0.405
2004,Ruby,0.411666667
2004,Rust,0.106666667
2004,Scala,0.035
2004,Swift,0
2004,TypeScript,0
2004,VBA,1.503333333
2004,Visual Basic,8.391666667
2005,Abap,0.358333333
2005,Ada,0.336666667
2005,C#,5.850833333
2005,C/C++,9.300833333
2005,Cobol,0.44
2005,Dart,0
2005,Delphi/Pascal,2.5
2005,Go,0
2005,Groovy,0.0825
2005,Haskell,0.233333333
2005,Java,30.2125
2005,JavaScript,8.309166667
2005,Julia,0
2005,Kotlin,0
2005,Lua,0.249166667
2005,Matlab,2.240833333
2005,Objective-C,0.1375
2005,PHP,19.68416667
2005,Perl,6.680833333
2005,Python,3.1325
2005,R,0.439166667
2005,Ruby,0.6825
2005,Rust,0.135833333
2005,Scala,0.0175
2005,Swift,0
2005,TypeScript,0
2005,VBA,1.5475
2005,Visual Basic,7.4325
2006,Abap,0.363333333
2006,Ada,0.2525
2006,C#,6.698333333
2006,C/C++,8.405
2006,Cobol,0.438333333
2006,Dart,0
2006,Delphi/Pascal,2.098333333
2006,Go,0
2006,Groovy,0.094166667
2006,Haskell,0.291666667
2006,Java,30.105
2006,JavaScript,8.285
2006,Julia,0
2006,Kotlin,0
2006,Lua,0.3925
2006,Matlab,2.3125
2006,Objective-C,0.121666667
2006,PHP,20.1425
2006,Perl,5.645833333
2006,Python,3.829166667
2006,R,0.535
2006,Ruby,1.9475
2006,Rust,0.094166667
2006,Scala,0.0225
2006,Swift,0
2006,TypeScript,0.004166667
2006,VBA,1.601666667
2006,Visual Basic,6.326666667
2007,Abap,0.370833333
2007,Ada,0.240833333
2007,C#,6.9
2007,C/C++,8.08
2007,Cobol,0.360833333
2007,Dart,0
2007,Delphi/Pascal,1.781666667
2007,Go,0
2007,Groovy,0.146666667
2007,Haskell,0.3225
2007,Java,30.5625
2007,JavaScript,8.443333333
2007,Julia,0
2007,Kotlin,0
2007,Lua,0.3675
2007,Matlab,2.340833333
2007,Objective-C,0.114166667
2007,PHP,20.16666667
2007,Perl,4.856666667
2007,Python,4.354166667
2007,R,0.6375
2007,Ruby,2.698333333
2007,Rust,0.088333333
2007,Scala,0.056666667
2007,Swift,0
2007,TypeScript,0.000833333
2007,VBA,1.649166667
2007,Visual Basic,5.4625
2008,Abap,0.375
2008,Ada,0.253333333
2008,C#,7.6025
2008,C/C++,8.064166667
2008,Cobol,0.410833333
2008,Dart,0
2008,Delphi/Pascal,1.75
2008,Go,0
2008,Groovy,0.250833333
2008,Haskell,0.3325
2008,Java,29.90666667
2008,JavaScript,8.051666667
2008,Julia,0
2008,Kotlin,0
2008,Lua,0.4325
2008,Matlab,2.575833333
2008,Objective-C,0.154166667
2008,PHP,19.50666667
2008,Perl,4.220833333
2008,Python,5.2425
2008,R,0.830833333
2008,Ruby,2.8625
2008,Rust,0.076666667
2008,Scala,0.136666667
2008,Swift,0
2008,TypeScript,0
2008,VBA,1.721666667
2008,Visual Basic,5.2425
2009,Abap,0.434166667
2009,Ada,0.201666667
2009,C#,7.2725
2009,C/C++,9.155833333
2009,Cobol,0.4275
2009,Dart,0
2009,Delphi/Pascal,1.555
2009,Go,0
2009,Groovy,0.286666667
2009,Haskell,0.314166667
2009,Java,28.08
2009,JavaScript,7.741666667
2009,Julia,0
2009,Kotlin,0
2009,Lua,0.470833333
2009,Matlab,2.935833333
2009,Objective-C,0.155833333
2009,PHP,18.94583333
2009,Perl,4.081666667
2009,Python,6.5375
2009,R,1.03
2009,Ruby,2.644166667
2009,Rust,0.095
2009,Scala,0.179166667
2009,Swift,0
2009,TypeScript,0
2009,VBA,2.0275
2009,Visual Basic,5.4225
2010,Abap,0.575833333
2010,Ada,0.1875
2010,C#,6.386666667
2010,C/C++,11.45833333
2010,Cobol,0.520833333
2010,Dart,0
2010,Delphi/Pascal,1.276666667
2010,Go,0.0275
2010,Groovy,0.341666667
2010,Haskell,0.298333333
2010,Java,28.43
2010,JavaScript,7.208333333
2010,Julia,0
2010,Kotlin,0
2010,Lua,0.490833333
2010,Matlab,3.319166667
2010,Objective-C,0.423333333
2010,PHP,17.7525
2010,Perl,3.315833333
2010,Python,6.379166667
2010,R,1.1975
2010,Ruby,2.359166667
2010,Rust,0.093333333
2010,Scala,0.22
2010,Swift,0
2010,TypeScript,0
2010,VBA,2.425
2010,Visual Basic,5.3125
2011,Abap,0.5775
2011,Ada,0.214166667
2011,C#,6.300833333
2011,C/C++,12.62
2011,Cobol,0.455833333
2011,Dart,0.060833333
2011,Delphi/Pascal,1.063333333
2011,Go,0.025
2011,Groovy,0.314166667
2011,Haskell,0.256666667
2011,Java,28.38583333
2011,JavaScript,7.106666667
2011,Julia,0
2011,Kotlin,0
2011,Lua,0.4725
2011,Matlab,3.134166667
2011,Objective-C,1.915833333
2011,PHP,16.38083333
2011,Perl,2.520833333
2011,Python,7.07
2011,R,1.35
2011,Ruby,2.58
2011,Rust,0.06
2011,Scala,0.2775
2011,Swift,0
2011,TypeScript,0
2011,VBA,2.0675
2011,Visual Basic,4.793333333
2012,Abap,0.6625
2012,Ada,0.238333333
2012,C#,8.358333333
2012,C/C++,9.58
2012,Cobol,0.379166667
2012,Dart,0.124166667
2012,Delphi/Pascal,0.886666667
2012,Go,0.054166667
2012,Groovy,0.385833333
2012,Haskell,0.295
2012,Java,27.35916667
2012,JavaScript,7.0975
2012,Julia,0.0925
2012,Kotlin,0.003333333
2012,Lua,0.62
2012,Matlab,3.130833333
2012,Objective-C,4.3325
2012,PHP,15.14166667
2012,Perl,2.198333333
2012,Python,8.135833333
2012,R,1.659166667
2012,Ruby,2.659166667
2012,Rust,0.075
2012,Scala,0.3775
2012,Swift,0
2012,TypeScript,0.004166667
2012,VBA,2.2425
2012,Visual Basic,3.9025
2013,Abap,0.61
2013,Ada,0.2425
2013,C#,9.760833333
2013,C/C++,8.21
2013,Cobol,0.3225
2013,Dart,0.123333333
2013,Delphi/Pascal,0.734166667
2013,Go,0.1
2013,Groovy,0.385833333
2013,Haskell,0.29
2013,Java,26.53416667
2013,JavaScript,7.419166667
2013,Julia,0.135833333
2013,Kotlin,0.004166667
2013,Lua,0.673333333
2013,Matlab,3.103333333
2013,Objective-C,5.52
2013,PHP,14.08833333
2013,Perl,1.884166667
2013,Python,9.4475
2013,R,1.993333333
2013,Ruby,2.744166667
2013,Rust,0.084166667
2013,Scala,0.485833333
2013,Swift,0
2013,TypeScript,0.0825
2013,VBA,1.709166667
2013,Visual Basic,3.304166667
2014,Abap,0.61
2014,Ada,0.3
2014,C#,9.651666667
2014,C/C++,8.028333333
2014,Cobol,0.333333333
2014,Dart,0.166666667
2014,Delphi/Pascal,0.655
2014,Go,0.164166667
2014,Groovy,0.4575
2014,Haskell,0.326666667
2014,Java,26.1525
2014,JavaScript,7.579166667
2014,Julia,0.1775
2014,Kotlin,0
2014,Lua,0.595
2014,Matlab,2.985833333
2014,Objective-C,6.4525
2014,PHP,12.84583333
2014,Perl,1.2175
2014,Python,10.22333333
2014,R,2.305833333
2014,Ruby,2.61
2014,Rust,0.230833333
2014,Scala,0.675833333
2014,Swift,0.801666667
2014,TypeScript,0.11
2014,VBA,1.645
2014,Visual Basic,2.7075
2015,Abap,0.581666667
2015,Ada,0.346666667
2015,C#,9.3075
2015,C/C++,7.790833333
2015,Cobol,0.3275
2015,Dart,0.123333333
2015,Delphi/Pascal,0.533333333
2015,Go,0.235833333
2015,Groovy,0.468333333
2015,Haskell,0.351666667
2015,Java,25.44583333
2015,JavaScript,7.448333333
2015,Julia,0.173333333
2015,Kotlin,0
2015,Lua,0.518333333
2015,Matlab,3.035833333
2015,Objective-C,5.8375
2015,PHP,11.725
2015,Perl,1.3125
2015,Python,11.29166667
2015,R,2.834166667
2015,Ruby,2.600833333
2015,Rust,0.205
2015,Scala,0.814166667
2015,Swift,2.745
2015,TypeScript,0.175
2015,VBA,1.549166667
2015,Visual Basic,2.2225
2016,Abap,0.4725
2016,Ada,0.37
2016,C#,9.0475
2016,C/C++,7.566666667
2016,Cobol,0.288333333
2016,Dart,0.115833333
2016,Delphi/Pascal,0.4125
2016,Go,0.36
2016,Groovy,0.4025
2016,Haskell,0.315833333
2016,Java,24.20333333
2016,JavaScript,7.768333333
2016,Julia,0.1925
2016,Kotlin,0.06
2016,Lua,0.520833333
2016,Matlab,2.883333333
2016,Objective-C,5.439166667
2016,PHP,10.8825
2016,Perl,1.016666667
2016,Python,13.46166667
2016,R,3.3475
2016,Ruby,2.360833333
2016,Rust,0.2675
2016,Scala,1.0275
2016,Swift,3.424166667
2016,TypeScript,0.56
2016,VBA,1.479166667
2016,Visual Basic,1.7525
2017,Abap,0.480833333
2017,Ada,0.445
2017,C#,8.279166667
2017,C/C++,7.133333333
2017,Cobol,0.339166667
2017,Dart,0.126666667
2017,Delphi/Pascal,0.351666667
2017,Go,0.605
2017,Groovy,0.445833333
2017,Haskell,0.333333333
2017,Java,22.1975
2017,JavaScript,8.29
2017,Julia,0.235833333
2017,Kotlin,0.399166667
2017,Lua,0.475
2017,Matlab,2.55
2017,Objective-C,4.513333333
2017,PHP,9.320833333
2017,Perl,0.83
2017,Python,17.41583333
2017,R,3.993333333
2017,Ruby,2.035833333
2017,Rust,0.365833333
2017,Scala,1.275
2017,Swift,3.479166667
2017,TypeScript,1.200833333
2017,VBA,1.441666667
2017,Visual Basic,1.435
2018,Abap,0.53
2018,Ada,0.339166667
2018,C#,7.740833333
2018,C/C++,6.213333333
2018,Cobol,0.328333333
2018,Dart,0.1625
2018,Delphi/Pascal,0.266666667
2018,Go,0.846666667
2018,Groovy,0.4925
2018,Haskell,0.309166667
2018,Java,21.785
2018,JavaScript,8.3225
2018,Julia,0.203333333
2018,Kotlin,0.946666667
2018,Lua,0.39
2018,Matlab,2.174166667
2018,Objective-C,3.451666667
2018,PHP,7.819166667
2018,Perl,0.75
2018,Python,22.71583333
2018,R,4.0925
2018,Ruby,1.651666667
2018,Rust,0.36
2018,Scala,1.198333333
2018,Swift,2.805833333
2018,TypeScript,1.4825
2018,VBA,1.416666667
2018,Visual Basic,1.2025
2019,Abap,0.534166667
2019,Ada,0.355
2019,C#,7.29
2019,C/C++,5.934166667
2019,Cobol,0.3125
2019,Dart,0.313333333
2019,Delphi/Pascal,0.255833333
2019,Go,1.135833333
2019,Groovy,0.488333333
2019,Haskell,0.290833333
2019,Java,19.99583333
2019,JavaScript,8.145833333
2019,Julia,0.261666667
2019,Kotlin,1.3625
2019,Lua,0.375833333
2019,Matlab,1.900833333
2019,Objective-C,2.763333333
2019,PHP,6.719166667
2019,Perl,0.595833333
2019,Python,27.49333333
2019,R,3.875833333
2019,Ruby,1.406666667
2019,Rust,0.56
2019,Scala,1.1075
2019,Swift,2.421666667
2019,TypeScript,1.704166667
2019,VBA,1.33
2019,Visual Basic,1.060833333
2020,Abap,0.470833333
2020,Ada,0.46
2020,C#,6.811666667
2020,C/C++,5.858333333
2020,Cobol,0.364166667
2020,Dart,0.506666667
2020,Delphi/Pascal,0.2575
2020,Go,1.350833333
2020,Groovy,0.409166667
2020,Haskell,0.279166667
2020,Java,17.34833333
2020,JavaScript,8.178333333
2020,Julia,0.341666667
2020,Kotlin,1.588333333
2020,Lua,0.4375
2020,Matlab,1.83
2020,Objective-C,2.766666667
2020,PHP,6.056666667
2020,Perl,0.4425
2020,Python,31.0125
2020,R,3.901666667
2020,Ruby,1.21
2020,Rust,0.878333333
2020,Scala,0.945
2020,Swift,2.29
2020,TypeScript,1.8775
2020,VBA,1.283333333
2020,Visual Basic,0.841666667
2021,Abap,0.5275
2021,Ada,0.62
2021,C#,7.034166667
2021,C/C++,6.689166667
2021,Cobol,0.334166667
2021,Dart,0.568333333
2021,Delphi/Pascal,0.078333333
2021,Go,1.414166667
2021,Groovy,0.434166667
2021,Haskell,0.256666667
2021,Java,17.74083333
2021,JavaScript,8.956666667
2021,Julia,0.350833333
2021,Kotlin,1.745833333
2021,Lua,0.500833333
2021,Matlab,1.559166667
2021,Objective-C,2.463333333
2021,PHP,6.2625
2021,Perl,0.408333333
2021,Python,30.29
2021,R,3.835
2021,Ruby,1.089166667
2021,Rust,0.871666667
2021,Scala,0.550833333
2021,Swift,1.770833333
2021,TypeScript,1.696666667
2021,VBA,1.259166667
2021,Visual Basic,0.693333333
2022,Abap,0.66
2022,Ada,0.75
2022,C#,7.27
2022,C/C++,7.4
2022,Cobol,0.3
2022,Dart,0.72
2022,Delphi/Pascal,0
2022,Go,1.19
2022,Groovy,0.48
2022,Haskell,0.34
2022,Java,18.01
2022,JavaScript,9.07
2022,Julia,0.34
2022,Kotlin,1.71
2022,Lua,0.42
2022,Matlab,1.74
2022,Objective-C,2.27
2022,PHP,6.06
2022,Perl,0.38
2022,Python,28.74
2022,R,4.19
2022,Ruby,1.07
2022,Rust,0.98
2022,Scala,0.48
2022,Swift,1.91
2022,TypeScript,1.74
2022,VBA,1.14
2022,Visual Basic,0.64